"","cnames","y","aid"
"1134","Mauritius","1992","0.1"
"1135","Mozambique","1992","0.3"
"1136","Namibia","1992","0.4"
"1137","Niger","1992","1.4"
"1138","Nigeria","1992","0.5"
"1139","Rwanda","1992","0.1"
"1140","Sao Tome & Principe","1992","0.4"
"1141","Senegal","1992","22.2"
"1142","Seychelles","1992","0.2"
"1143","Sierra Leone","1992","0.2"
"1144","Somalia","1992",
"1145","South Africa","1992",
"1146","Sudan","1992",
"1147","Swaziland","1992","0.3"
"1148","Tanzania","1992","0.2"
"1149","Togo","1992",
"1150","Uganda","1992","0.4"
"1151","Zambia","1992","0.4"
"1152","Zimbabwe","1992","0.9"
"1153","Angola","1993",
"1154","Benin","1993","0.5"
"1155","Botswana","1993","3.2"
"1156","Burkina Faso","1993",
"1157","Burundi","1993","0.5"
"1158","Cameroon","1993","0.5"
"1159","Cape Verde","1993","0.2"
"1160","Central African Republic","1993","0.3"
"1161","Chad","1993","0.5"
"1162","Comoros","1993","0.2"
"1163","Congo (Brazzaville)","1993","0.2"
"1164","Congo (Kinshasa)","1993",
"1165","Cote d'Ivoire","1993","0.3"
"1166","Djibouti","1993","0.3"
"1167","Equatorial Guinea","1993",
"1168","Eritrea","1993",
"1169","Ethiopia","1993","0.2"
"1170","Gabon","1993","0.2"
"1171","Gambia, The","1993","1.9"
"1172","Ghana","1993","1.3"
"1173","Guinea","1993","0.4"
"1174","Guinea-Bissau","1993","2.6"
"1175","Kenya","1993","0.9"
"1176","Lesotho","1993","0.2"
"1177","Liberia","1993",
"1178","Madagascar","1993","0.4"
"1179","Malawi","1993","0.1"
"1180","Mali","1993","1.3"
"1181","Mauritania","1993",
"1182","Mauritius","1993","0.1"
"1183","Mozambique","1993","0.2"
"1184","Namibia","1993","1.2"
"1185","Niger","1993","1.3"
"1186","Nigeria","1993","0.2"
"1187","Rwanda","1993","0.9"
"1188","Sao Tome & Principe","1993","0.5"
"1189","Senegal","1993","10.7"
"1190","Seychelles","1993","0.3"
"1191","Sierra Leone","1993","0.4"
"1192","Somalia","1993","34.7"
"1193","South Africa","1993",
"1194","Sudan","1993",
"1195","Swaziland","1993","0.2"
"1196","Tanzania","1993","0.4"
"1197","Togo","1993",
"1198","Uganda","1993","0.9"
"1199","Zambia","1993","0.6"
"1200","Zimbabwe","1993","1.8"
"1201","Angola","1994",
"1202","Benin","1994","0.1"
"1203","Botswana","1994","0.5"
"1204","Burkina Faso","1994",
"1205","Burundi","1994",
"1206","Cameroon","1994","0.1"
"1207","Cape Verde","1994",
"1208","Central African Republic","1994",
"1209","Chad","1994","0.3"
"1210","Comoros","1994",
"1211","Congo (Brazzaville)","1994","0.1"
"1212","Congo (Kinshasa)","1994",
"1213","Cote d'Ivoire","1994","0.2"
"1214","Djibouti","1994","0.1"
"1215","Equatorial Guinea","1994",
"1216","Eritrea","1994","0.4"
"1217","Ethiopia","1994","1.2"
"1218","Gabon","1994",
"1219","Gambia, The","1994","0.1"
"1220","Ghana","1994","0.7"
"1221","Guinea","1994","0.1"
"1222","Guinea-Bissau","1994","0.1"
"1223","Kenya","1994","0.4"
"1224","Lesotho","1994",
"1225","Liberia","1994",
"1226","Madagascar","1994",
"1227","Malawi","1994","0.2"
"1228","Mali","1994","0.2"
"1229","Mauritania","1994",
"1230","Mauritius","1994",
"1231","Mozambique","1994","1"
"1232","Namibia","1994","0.3"
"1233","Niger","1994","0.3"
"1234","Nigeria","1994",
"1235","Rwanda","1994","101.9"
"1236","Sao Tome & Principe","1994",
"1237","Senegal","1994","0.6"
"1238","Seychelles","1994",
"1239","Sierra Leone","1994",
"1240","Somalia","1994","5.1"
"1241","South Africa","1994","0.1"
"1242","Sudan","1994",
"1243","Swaziland","1994",
"1244","Tanzania","1994","0.2"
"1245","Togo","1994",
"1246","Uganda","1994","0.2"
"1247","Zambia","1994","0.1"
"1248","Zimbabwe","1994","0.3"
"1249","Angola","1995",
"1250","Benin","1995","0.2"
"1251","Botswana","1995","5.6"
"1252","Burkina Faso","1995",
"1253","Burundi","1995","0.1"
"1254","Cameroon","1995",
"1255","Cape Verde","1995","0.1"
"1256","Central African Republic","1995","0.2"
"1257","Chad","1995","0.1"
"1258","Comoros","1995",
"1259","Congo (Brazzaville)","1995","0.2"
"1260","Congo (Kinshasa)","1995",
"1261","Cote d'Ivoire","1995","0.2"
"1262","Djibouti","1995","0.3"
"1263","Equatorial Guinea","1995",
"1264","Eritrea","1995","0.9"
"1265","Ethiopia","1995","4.8"
"1266","Gabon","1995",
"1267","Gambia, The","1995",
"1268","Ghana","1995","0.4"
"1269","Guinea","1995","0.2"
"1270","Guinea-Bissau","1995","0.1"
"1271","Kenya","1995","0.4"
"1272","Lesotho","1995","0"
"1273","Liberia","1995",
"1274","Madagascar","1995",
"1275","Malawi","1995","0.2"
"1276","Mali","1995","0.2"
"1277","Mauritania","1995",
"1278","Mauritius","1995",
"1279","Mozambique","1995","0.2"
"1280","Namibia","1995","0.5"
"1281","Niger","1995","0.3"
"1282","Nigeria","1995",
"1283","Rwanda","1995","0.5"
"1284","Sao Tome & Principe","1995","0"
"1285","Senegal","1995","1.3"
"1286","Seychelles","1995","0"
"1287","Sierra Leone","1995","0.1"
"1288","Somalia","1995",
"1289","South Africa","1995","0.4"
"1290","Sudan","1995",
"1291","Swaziland","1995","0.1"
"1292","Tanzania","1995","0.1"
"1293","Togo","1995",
"1294","Uganda","1995","0.2"
"1295","Zambia","1995","0.1"
"1296","Zimbabwe","1995","0.3"
"1297","Angola","1996","2.6"
"1298","Benin","1996","0.4"
"1299","Botswana","1996","0.6"
"1300","Burkina Faso","1996",
"1301","Burundi","1996","0.1"
"1302","Cameroon","1996","0.1"
"1303","Cape Verde","1996","0.1"
"1304","Central African Republic","1996","0.1"
"1305","Chad","1996",
"1306","Comoros","1996","0.1"
"1307","Congo (Brazzaville)","1996","0.2"
"1308","Congo (Kinshasa)","1996",
"1309","Cote d'Ivoire","1996","0.2"
"1310","Djibouti","1996","0.2"
"1311","Equatorial Guinea","1996",
"1312","Eritrea","1996","17.6"
"1313","Ethiopia","1996","6.4"
"1314","Gabon","1996",
"1315","Gambia, The","1996",
"1316","Ghana","1996","0.3"
"1317","Guinea","1996","0"
"1318","Guinea-Bissau","1996","0.1"
"1319","Kenya","1996","0.4"
"1320","Lesotho","1996","0.1"
"1321","Liberia","1996","19.6"
"1322","Madagascar","1996","0.1"
"1323","Malawi","1996","0.2"
"1324","Mali","1996","0.2"
"1325","Mauritania","1996",
"1326","Mauritius","1996",
"1327","Mozambique","1996","0.5"
"1328","Namibia","1996","0.8"
"1329","Niger","1996","0"
"1330","Nigeria","1996",
"1331","Rwanda","1996","0.8"
"1332","Sao Tome & Principe","1996","0.1"
"1333","Senegal","1996","0.8"
"1334","Seychelles","1996","0"
"1335","Sierra Leone","1996","0.2"
"1336","Somalia","1996",
"1337","South Africa","1996","11.2"
"1338","Sudan","1996",
"1339","Swaziland","1996","0.1"
"1340","Tanzania","1996","0.2"
"1341","Togo","1996",
"1342","Uganda","1996","5.6"
"1343","Zambia","1996","0.1"
"1344","Zimbabwe","1996","0.3"
"1345","Angola","1997","0.2"
"1346","Benin","1997","0.4"
"1347","Botswana","1997","0.5"
"1348","Burkina Faso","1997",
"1349","Burundi","1997",
"1350","Cameroon","1997","0.1"
"1351","Cape Verde","1997","0.3"
"1352","Central African Republic","1997","0.2"
"1353","Chad","1997","0"
"1354","Comoros","1997","0.1"
"1355","Congo (Brazzaville)","1997","0.2"
"1356","Congo (Kinshasa)","1997",
"1357","Cote d'Ivoire","1997","0.2"
"1358","Djibouti","1997","0.1"
"1359","Equatorial Guinea","1997",
"1360","Eritrea","1997","2.8"
"1361","Ethiopia","1997","1.7"
"1362","Gabon","1997",
"1363","Gambia, The","1997",
"1364","Ghana","1997","0.3"
"1365","Guinea","1997","0.1"
"1366","Guinea-Bissau","1997","0.2"
"1367","Kenya","1997","0.4"
"1368","Lesotho","1997","0.1"
"1369","Liberia","1997",
"1370","Madagascar","1997","0.1"
"1371","Malawi","1997","1"
"1372","Mali","1997","0.2"
"1373","Mauritania","1997",
"1374","Mauritius","1997","0"
"1375","Mozambique","1997","0.3"
"1376","Namibia","1997","0.2"
"1377","Niger","1997",
"1378","Nigeria","1997",
"1379","Rwanda","1997","0.5"
"1380","Sao Tome & Principe","1997","0.1"
"1381","Senegal","1997","3.4"
"1382","Seychelles","1997","0.1"
"1383","Sierra Leone","1997","0"
"1384","Somalia","1997",
"1385","South Africa","1997","0.8"
"1386","Sudan","1997",
"1387","Swaziland","1997","0.1"
"1388","Tanzania","1997","0"
"1389","Togo","1997","0"
"1390","Uganda","1997","5.5"
"1391","Zambia","1997","0.2"
"1392","Zimbabwe","1997","0.4"
"1393","Angola","1998",
"1394","Benin","1998","4.5"
"1395","Botswana","1998","1.4"
"1396","Burkina Faso","1998",
"1397","Burundi","1998",
"1398","Cameroon","1998","0.2"
"1399","Cape Verde","1998","0.2"
"1400","Central African Republic","1998","0.2"
"1401","Chad","1998","0.1"
"1402","Comoros","1998","0.1"
"1403","Congo (Brazzaville)","1998",
"1404","Congo (Kinshasa)","1998",
"1405","Cote d'Ivoire","1998","1.8"
"1406","Djibouti","1998","0.1"
"1407","Equatorial Guinea","1998",
"1408","Eritrea","1998","1.8"
"1409","Ethiopia","1998","1.6"
"1410","Gabon","1998",
"1411","Gambia, The","1998",
"1412","Ghana","1998","4.5"
"1413","Guinea","1998","0.1"
"1414","Guinea-Bissau","1998","0.1"
"1415","Kenya","1998","0.6"
"1416","Lesotho","1998","0.1"
"1417","Liberia","1998",
"1418","Madagascar","1998","0.2"
"1419","Malawi","1998","1.5"
"1420","Mali","1998","2.4"
"1421","Mauritania","1998",
"1422","Mauritius","1998","0.1"
"1423","Mozambique","1998","0.2"
"1424","Namibia","1998","0.3"
"1425","Niger","1998",
"1426","Nigeria","1998",
"1427","Rwanda","1998","0.7"
"1428","Sao Tome & Principe","1998","0.1"
"1429","Senegal","1998","6.5"
"1430","Seychelles","1998","0.1"
"1431","Sierra Leone","1998",
"1432","Somalia","1998",
"1433","South Africa","1998","1.5"
"1434","Sudan","1998",
"1435","Swaziland","1998","0.1"
"1436","Tanzania","1998","0.2"
"1437","Togo","1998",
"1438","Uganda","1998","5.4"
"1439","Zambia","1998","0.2"
"1440","Zimbabwe","1998","0.4"
"1441","Angola","1999",
"1442","Benin","1999","0.5"
"1443","Botswana","1999","0.7"
"1444","Burkina Faso","1999",
"1445","Burundi","1999",
"1446","Cameroon","1999","0.2"
"1447","Cape Verde","1999","0.1"
"1448","Central African Republic","1999","0.1"
"1449","Chad","1999","0.1"
"1450","Comoros","1999","0"
"1451","Congo (Brazzaville)","1999",
"1452","Congo (Kinshasa)","1999",
"1453","Cote d'Ivoire","1999","0.9"
"1454","Djibouti","1999","0.2"
"1455","Equatorial Guinea","1999",
"1456","Eritrea","1999","0.5"
"1457","Ethiopia","1999","4.3"
"1458","Gabon","1999",
"1459","Gambia, The","1999",
"1460","Ghana","1999","2.1"
"1461","Guinea","1999","0.2"
"1462","Guinea-Bissau","1999",
"1463","Kenya","1999","0.7"
"1464","Lesotho","1999","0.1"
"1465","Liberia","1999",
"1466","Madagascar","1999","0.1"
"1467","Malawi","1999","0.4"
"1468","Mali","1999","1.2"
"1469","Mauritania","1999",
"1470","Mauritius","1999","0.1"
"1471","Mozambique","1999","0.2"
"1472","Namibia","1999","0.2"
"1473","Niger","1999",
"1474","Nigeria","1999","0.1"
"1475","Rwanda","1999","0.4"
"1476","Sao Tome & Principe","1999","0.1"
"1477","Senegal","1999","4.3"
"1478","Seychelles","1999","0.1"
"1479","Sierra Leone","1999","2.1"
"1480","Somalia","1999",
"1481","South Africa","1999","1.7"
"1482","Sudan","1999",
"1483","Swaziland","1999","0.1"
"1484","Tanzania","1999","0.2"
"1485","Togo","1999",
"1486","Uganda","1999","0.4"
"1487","Zambia","1999","0.2"
"1488","Zimbabwe","1999","0.4"
"1489","Angola","2000",
"1490","Benin","2000","0.4"
"1491","Botswana","2000","0.6"
"1492","Burkina Faso","2000",
"1493","Burundi","2000",
"1494","Cameroon","2000","0.2"
"1495","Cape Verde","2000","0.2"
"1496","Central African Republic","2000","0.1"
"1497","Chad","2000","0.1"
"1498","Comoros","2000",
"1499","Congo (Brazzaville)","2000",
"1500","Congo (Kinshasa)","2000",
"1501","Cote d'Ivoire","2000","0"
"1502","Djibouti","2000","0.2"
"1503","Equatorial Guinea","2000",
"1504","Eritrea","2000","0"
"1505","Ethiopia","2000","0.2"
"1506","Gabon","2000","0.1"
"1507","Gambia, The","2000",
"1508","Ghana","2000","1.5"
"1509","Guinea","2000","0.2"
"1510","Guinea-Bissau","2000","0"
"1511","Kenya","2000","0.5"
"1512","Lesotho","2000","0.1"
"1513","Liberia","2000",
"1514","Madagascar","2000","0.2"
"1515","Malawi","2000","0.4"
"1516","Mali","2000","0.3"
"1517","Mauritania","2000",
"1518","Mauritius","2000","0.1"
"1519","Mozambique","2000","0.2"
"1520","Namibia","2000","0.2"
"1521","Niger","2000",
"1522","Nigeria","2000","12.9"
"1523","Rwanda","2000","0.2"
"1524","Sao Tome & Principe","2000","0.1"
"1525","Senegal","2000","1.1"
"1526","Seychelles","2000","0.3"
"1527","Sierra Leone","2000","0.5"
"1528","Somalia","2000",
"1529","South Africa","2000","1.4"
"1530","Sudan","2000",
"1531","Swaziland","2000","0.1"
"1532","Tanzania","2000","0.2"
"1533","Togo","2000",
"1534","Uganda","2000","0.3"
"1535","Zambia","2000","0.2"
"1536","Zimbabwe","2000","0.4"
"1537","Angola","2001",
"1538","Benin","2001","0.5"
"1539","Botswana","2001","2.7"
"1540","Burkina Faso","2001",
"1541","Burundi","2001",
"1542","Cameroon","2001","0.3"
"1543","Cape Verde","2001","0.2"
"1544","Central African Republic","2001","0.1"
"1545","Chad","2001","0.2"
"1546","Comoros","2001",
"1547","Congo (Brazzaville)","2001","0.1"
"1548","Congo (Kinshasa)","2001",
"1549","Cote d'Ivoire","2001",
"1550","Djibouti","2001","0.3"
"1551","Equatorial Guinea","2001",
"1552","Eritrea","2001","0.2"
"1553","Ethiopia","2001",
"1554","Gabon","2001","0.2"
"1555","Gambia, The","2001",
"1556","Ghana","2001","2.8"
"1557","Guinea","2001","3.9"
"1558","Guinea-Bissau","2001","0.1"
"1559","Kenya","2001","1.7"
"1560","Lesotho","2001","0.1"
"1561","Liberia","2001",
"1562","Madagascar","2001","0.5"
